model_name,group_name,workload_name,candidate_action,backend,hardware_label,backend_feasible,calibration_signal,perturbation_risk,predicted_quality_risk,prompt_nll_delta_pct_vs_bf16,latency_delta_pct_vs_bf16,prefill_latency_delta_pct_vs_bf16,output_tokens_per_sec_delta_pct_vs_bf16,decode_tokens_per_sec_delta_pct_vs_bf16,total_tokens_per_sec_delta_pct_vs_bf16,memory_delta_gib_vs_bf16,memory_delta_pct_vs_bf16,kv_cache_memory_delta_gib_vs_bf16,source_artifact,failure_reason,notes
meta-llama/Llama-3.1-8B,mixed_batch,batch_mixed_long,bf16_kv_fp8,vllm+bfloat16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00051479,0.051479,-1.417483,,1.438061,,1.438061,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_kv_fp8/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,batch_mixed_long,bf16_kv_fp8_e4m3,vllm+bfloat16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00051479,0.051479,-1.121573,,1.134155,,1.134155,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_kv_fp8_e4m3/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,batch_mixed_long,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00014844,-0.014844,-0.426803,,0.428405,,0.428405,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_default/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,batch_mixed_long,fp16_kv_fp8,vllm+float16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00019607,-0.019607,-2.060389,,2.103854,,2.103854,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_kv_fp8/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,mixed_batch,batch_mixed_long,fp16_kv_fp8_e4m3,vllm+float16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00019607,-0.019607,-1.250705,,1.266926,,1.266926,0.796875,3.641811,0.796875,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_kv_fp8_e4m3/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_2k_context,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_default/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_2k_context,bf16_kv_fp8,vllm+bfloat16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00051479,0.051479,0.861094,,-0.854650,-0.854650,-0.854650,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_kv_fp8/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_2k_context,bf16_kv_fp8_e4m3,vllm+bfloat16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00051479,0.051479,0.521045,,-0.518728,-0.518728,-0.518728,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_kv_fp8_e4m3/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_2k_context,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00014844,-0.014844,0.369920,,-0.369831,-0.369831,-0.369831,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_default/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_2k_context,fp16_kv_fp8,vllm+float16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00019607,-0.019607,0.254353,,-0.254520,-0.254520,-0.254520,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_kv_fp8/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,decode,decode_2k_context,fp16_kv_fp8_e4m3,vllm+float16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00019607,-0.019607,0.343186,,-0.342709,-0.342709,-0.342709,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_kv_fp8_e4m3/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_4k,bf16_default,vllm+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_default/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_4k,bf16_kv_fp8,vllm+bfloat16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00051479,0.051479,-1.280946,-1.280946,1.298394,,1.298394,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_kv_fp8/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_4k,bf16_kv_fp8_e4m3,vllm+bfloat16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00051479,0.051479,-3.610512,-3.610512,3.757553,,3.757553,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/bf16_kv_fp8_e4m3/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_4k,fp16_default,vllm+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00014844,-0.014844,-2.060025,-2.060025,2.107442,,2.107442,0.000000,0.000000,0.000000,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_default/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_4k,fp16_kv_fp8,vllm+float16+kv_fp8,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00019607,-0.019607,-1.733435,-1.733435,1.763280,,1.763280,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_kv_fp8/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B,prefill,prefill_4k,fp16_kv_fp8_e4m3,vllm+float16+kv_fp8_e4m3,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00019607,-0.019607,-1.958357,-1.958357,1.995090,,1.995090,0.798828,3.651062,0.798828,experiments/h9-transformer-inference-policy-search/results/h9_2_long_context_benchmarks/fp16_kv_fp8_e4m3/benchmark.json,,h9_2_long_context; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because vLLM worker allocation is not captured by PyTorch reserved memory.
